scenario,particles,runs,rmse_mean_m,rmse_std_m,p90_error_m,runtime_mean_ms
nominal,450,12,0.183086,0.006752,0.264858,0.943
nominal,1800,12,0.177274,0.007081,0.257520,2.626
nominal,7200,12,0.176038,0.005851,0.255058,8.406
nominal,14400,12,0.176094,0.006971,0.253609,16.657
poor_init,450,12,0.215154,0.024526,0.303922,1.036
poor_init,1800,12,0.186349,0.011705,0.270278,2.521
poor_init,7200,12,0.180655,0.008248,0.260813,8.842
poor_init,14400,12,0.177903,0.007471,0.255947,15.611
high_noise,450,12,0.446330,0.029859,0.650930,0.812
high_noise,1800,12,0.425194,0.030724,0.609558,2.084
high_noise,7200,12,0.417427,0.027074,0.599469,7.537
high_noise,14400,12,0.412661,0.021652,0.590041,16.449
